序号,帧ID,时间标识,类型,报文描述,报文内容,长度,数据(Hex)
0,0x1826F456,54:16.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x26 ) DA(0xF4 ) SA(0x56 ) PGN(0x2600 ) Data Field(0x01 01 00 ),3,01 01 00 
1,0x1826F456,54:16.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x26 ) DA(0xF4 ) SA(0x56 ) PGN(0x2600 ) Data Field(0x01 01 00 ),3,01 01 00 
2,0x1826F456,54:16.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x26 ) DA(0xF4 ) SA(0x56 ) PGN(0x2600 ) Data Field(0x01 01 00 ),3,01 01 00 
3,0x182756F4,54:16.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x27 ) DA(0x56 ) SA(0xF4 ) PGN(0x2700 ) Data Field(0x8E 17 ),2,8E 17 
4,0x1826F456,54:16.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x26 ) DA(0xF4 ) SA(0x56 ) PGN(0x2600 ) Data Field(0x01 01 00 ),3,01 01 00 
5,0x182756F4,54:16.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x27 ) DA(0x56 ) SA(0xF4 ) PGN(0x2700 ) Data Field(0x8E 17 ),2,8E 17 
6,0x1826F456,54:16.8,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x26 ) DA(0xF4 ) SA(0x56 ) PGN(0x2600 ) Data Field(0x01 01 00 ),3,01 01 00 
7,0x182756F4,54:17.0,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x27 ) DA(0x56 ) SA(0xF4 ) PGN(0x2700 ) Data Field(0x8E 17 ),2,8E 17 
8,0x1826F456,54:17.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x26 ) DA(0xF4 ) SA(0x56 ) PGN(0x2600 ) Data Field(0x01 01 00 ),3,01 01 00 
9,0x182756F4,54:17.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x27 ) DA(0x56 ) SA(0xF4 ) PGN(0x2700 ) Data Field(0x8E 17 ),2,8E 17 
10,0x1826F456,54:17.3,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x26 ) DA(0xF4 ) SA(0x56 ) PGN(0x2600 ) Data Field(0x01 01 00 ),3,01 01 00 
11,0x182756F4,54:17.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x27 ) DA(0x56 ) SA(0xF4 ) PGN(0x2700 ) Data Field(0x8E 17 ),2,8E 17 
12,0x1801F456,54:17.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x1 ) DA(0xF4 ) SA(0x56 ) PGN(0x100 ) Data Field(0x00 01 FF FF FF FF FF FF ),8,00 01 FF FF FF FF FF FF 
13,0x1CEC56F4,54:17.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0x56 ) SA(0xF4 ) PGN(0xEC00 ) Data Field(0x10 31 00 07 FF 00 02 00 ),8,10 31 00 07 FF 00 02 00 
14,0x1CECF456,54:17.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x11 07 01 FF FF 00 02 00 ),8,11 07 01 FF FF 00 02 00 
15,0x1CEB56F4,54:17.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x01 01 01 00 06 B4 00 39 ),8,01 01 01 00 06 B4 00 39 
16,0x1CEB56F4,54:17.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x02 13 4B 4C 49 45 01 00 ),8,02 13 4B 4C 49 45 01 00 
17,0x1CEB56F4,54:17.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x03 00 00 1E 01 01 01 00 ),8,03 00 00 1E 01 01 01 00 
18,0x1CEB56F4,54:17.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x04 00 01 FF 00 00 00 00 ),8,04 00 01 FF 00 00 00 00 
19,0x1CEB56F4,54:17.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x05 00 00 00 00 00 00 00 ),8,05 00 00 00 00 00 00 00 
20,0x1CEB56F4,54:17.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x06 00 00 00 00 00 00 83 ),8,06 00 00 00 00 00 00 83 
21,0x1CEB56F4,54:17.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x07 FF FF FF FF FF FF FF ),8,07 FF FF FF FF FF FF FF 
22,0x1CECF456,54:17.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x13 31 00 07 FF 00 02 00 ),8,13 31 00 07 FF 00 02 00 
23,0x1801F456,54:17.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x1 ) DA(0xF4 ) SA(0x56 ) PGN(0x100 ) Data Field(0xAA 01 FF FF FF FF FF FF ),8,AA 01 FF FF FF FF FF FF 
24,0x1CEC56F4,54:17.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0x56 ) SA(0xF4 ) PGN(0xEC00 ) Data Field(0x10 0D 00 02 FF 00 06 00 ),8,10 0D 00 02 FF 00 06 00 
25,0x1CECF456,54:17.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x11 02 01 FF FF 00 06 00 ),8,11 02 01 FF FF 00 06 00 
26,0x1CEB56F4,54:17.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x01 9E 01 B8 0B 4E 00 8E ),8,01 9E 01 B8 0B 4E 00 8E 
27,0x1CEB56F4,54:17.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x02 17 6E CA 03 24 13 FF ),8,02 17 6E CA 03 24 13 FF 
28,0x1CECF456,54:17.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x13 0D 00 02 FF 00 06 00 ),8,13 0D 00 02 FF 00 06 00 
29,0x1807F456,54:17.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x7 ) DA(0xF4 ) SA(0x56 ) PGN(0x700 ) Data Field(0x36 24 08 16 05 15 20 ),7,36 24 08 16 05 15 20 
30,0x1808F456,54:17.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x8 ) DA(0xF4 ) SA(0x56 ) PGN(0x800 ) Data Field(0x58 1B D0 07 D8 0E A0 0F ),8,58 1B D0 07 D8 0E A0 0F 
31,0x100956F4,54:17.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x4 ) R(0x0 ) DP(0x0 ) PF(0x9 ) DA(0x56 ) SA(0xF4 ) PGN(0x900 ) Data Field(0x0 ),1,0
32,0x1808F456,54:17.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x8 ) DA(0xF4 ) SA(0x56 ) PGN(0x800 ) Data Field(0x58 1B D0 07 D8 0E A0 0F ),8,58 1B D0 07 D8 0E A0 0F 
33,0x100956F4,54:17.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x4 ) R(0x0 ) DP(0x0 ) PF(0x9 ) DA(0x56 ) SA(0xF4 ) PGN(0x900 ) Data Field(0x0 ),1,0
34,0x100956F4,54:18.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x4 ) R(0x0 ) DP(0x0 ) PF(0x9 ) DA(0x56 ) SA(0xF4 ) PGN(0x900 ) Data Field(0x0 ),1,0
35,0x1807F456,54:18.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x7 ) DA(0xF4 ) SA(0x56 ) PGN(0x700 ) Data Field(0x36 24 08 16 05 15 20 ),7,36 24 08 16 05 15 20 
36,0x1808F456,54:18.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x8 ) DA(0xF4 ) SA(0x56 ) PGN(0x800 ) Data Field(0x58 1B D0 07 D8 0E A0 0F ),8,58 1B D0 07 D8 0E A0 0F 
37,0x100956F4,54:18.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x4 ) R(0x0 ) DP(0x0 ) PF(0x9 ) DA(0x56 ) SA(0xF4 ) PGN(0x900 ) Data Field(0xAA ),1,AA 
38,0x100AF456,54:18.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x4 ) R(0x0 ) DP(0x0 ) PF(0xA ) DA(0xF4 ) SA(0x56 ) PGN(0xA00 ) Data Field(0xAA ),1,AA 
39,0x181056F4,54:18.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
40,0x100AF456,54:18.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x4 ) R(0x0 ) DP(0x0 ) PF(0xA ) DA(0xF4 ) SA(0x56 ) PGN(0xA00 ) Data Field(0xAA ),1,AA 
41,0x100956F4,54:18.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x4 ) R(0x0 ) DP(0x0 ) PF(0x9 ) DA(0x56 ) SA(0xF4 ) PGN(0x900 ) Data Field(0xAA ),1,AA 
42,0x1CEC56F4,54:18.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0x56 ) SA(0xF4 ) PGN(0xEC00 ) Data Field(0x10 09 00 02 FF 00 11 00 ),8,10 09 00 02 FF 00 11 00 
43,0x1CECF456,54:18.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x11 02 01 FF FF 00 11 00 ),8,11 02 01 FF FF 00 11 00 
44,0x1CEB56F4,54:18.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x01 25 13 A0 0F 73 11 61 ),8,01 25 13 A0 0F 73 11 61 
45,0x1CEB56F4,54:18.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x02 00 00 FF FF FF FF FF ),8,02 00 00 FF FF FF FF FF 
46,0x1CECF456,54:18.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x13 09 00 02 FF 00 11 00 ),8,13 09 00 02 FF 00 11 00 
47,0x1812F456,54:18.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
48,0x181056F4,54:18.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
49,0x1812F456,54:18.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
50,0x181056F4,54:18.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
51,0x181356F4,54:18.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x13 ) DA(0x56 ) SA(0xF4 ) PGN(0x1300 ) Data Field(0x42 4B 01 4A 1B 00 D0 ),7,42 4B 01 4A 1B 00 D0 
52,0x181056F4,54:18.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
53,0x1812F456,54:18.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
54,0x181056F4,54:18.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
55,0x1812F456,54:18.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2B 00 A0 0F 00 00 FD FF ),8,2B 00 A0 0F 00 00 FD FF 
56,0x181056F4,54:18.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
57,0x1812F456,54:18.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2B 00 A0 0F 00 00 FD FF ),8,2B 00 A0 0F 00 00 FD FF 
58,0x1CEC56F4,54:18.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0x56 ) SA(0xF4 ) PGN(0xEC00 ) Data Field(0x10 09 00 02 FF 00 11 00 ),8,10 09 00 02 FF 00 11 00 
59,0x1CECF456,54:18.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x11 02 01 FF FF 00 11 00 ),8,11 02 01 FF FF 00 11 00 
60,0x1CEB56F4,54:18.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x01 25 13 A0 0F 73 11 61 ),8,01 25 13 A0 0F 73 11 61 
61,0x1CEB56F4,54:18.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x02 00 00 FF FF FF FF FF ),8,02 00 00 FF FF FF FF FF 
